# Step Time(s) KE(J) PE(J) TotalE(J) Temp(K) Volume Pressure
0 0.000000e+00 2.284753e-18 -4.621216e-18 -2.336463e-18 107.737 5.241697e-26 6.116858e+08
100 2.000000e-13 2.397381e-18 -5.335877e-18 -2.938496e-18 113.048 5.353487e-26 4.762316e+08
200 4.000000e-13 4.243719e-18 -7.414542e-18 -3.170823e-18 200.112 5.424661e-26 2.420882e+08
300 6.000000e-13 4.218569e-18 -7.451062e-18 -3.232493e-18 198.926 5.471322e-26 1.831172e+08
400 8.000000e-13 4.239484e-18 -7.494742e-18 -3.255258e-18 199.912 5.499916e-26 1.295405e+08
500 1.000000e-12 4.191214e-18 -7.451665e-18 -3.260451e-18 197.636 5.513788e-26 9.302016e+07
600 1.200000e-12 4.069840e-18 -7.334680e-18 -3.264840e-18 191.912 5.553416e-26 6.672020e+07
700 1.400000e-12 3.900859e-18 -7.162891e-18 -3.262032e-18 183.944 5.587145e-26 5.972927e+07
800 1.600000e-12 3.737955e-18 -6.999809e-18 -3.261854e-18 176.262 5.592925e-26 6.860124e+07
900 1.800000e-12 3.657180e-18 -6.917646e-18 -3.260466e-18 172.453 5.585686e-26 7.672519e+07
1000 2.000000e-12 3.570985e-18 -6.828774e-18 -3.257788e-18 168.389 5.569779e-26 8.654533e+07
1100 2.200000e-12 3.567648e-18 -6.827006e-18 -3.259358e-18 168.232 5.586892e-26 8.202866e+07
1200 2.400000e-12 3.503997e-18 -6.766938e-18 -3.262941e-18 165.230 5.602972e-26 8.675118e+07
1300 2.600000e-12 3.485245e-18 -6.752706e-18 -3.267461e-18 164.346 5.624881e-26 8.667636e+07
1400 2.800000e-12 3.494849e-18 -6.766894e-18 -3.272044e-18 164.799 5.647403e-26 8.152025e+07
1500 3.000000e-12 3.475526e-18 -6.748925e-18 -3.273398e-18 163.888 5.654809e-26 8.015486e+07
1600 3.200000e-12 3.522652e-18 -6.799742e-18 -3.277090e-18 166.110 5.681930e-26 7.050510e+07
1700 3.400000e-12 3.478238e-18 -6.756615e-18 -3.278377e-18 164.015 5.697277e-26 6.986880e+07
1800 3.600000e-12 3.414698e-18 -6.695808e-18 -3.281109e-18 161.019 5.724574e-26 7.344003e+07
1900 3.800000e-12 3.376178e-18 -6.663963e-18 -3.287785e-18 159.203 5.768515e-26 6.968832e+07
2000 4.000000e-12 3.386586e-18 -6.676192e-18 -3.289606e-18 159.694 5.794056e-26 6.342831e+07
2100 4.200000e-12 3.339196e-18 -6.629846e-18 -3.290650e-18 157.459 5.811487e-26 6.275335e+07
2200 4.400000e-12 3.355375e-18 -6.647894e-18 -3.292518e-18 158.222 5.842051e-26 5.684247e+07
2300 4.600000e-12 3.273059e-18 -6.565782e-18 -3.292723e-18 154.340 5.872076e-26 5.981042e+07
2400 4.800000e-12 3.287575e-18 -6.579909e-18 -3.292334e-18 155.025 5.894730e-26 5.681396e+07
2500 5.000000e-12 3.264106e-18 -6.557009e-18 -3.292903e-18 153.918 5.913912e-26 5.897901e+07
2600 5.200000e-12 3.392017e-18 -6.684284e-18 -3.292267e-18 159.950 5.943418e-26 4.359088e+07
2700 5.400000e-12 3.233584e-18 -6.525046e-18 -3.291461e-18 152.479 5.961574e-26 5.448020e+07
2800 5.600000e-12 3.228188e-18 -6.518282e-18 -3.290094e-18 152.224 5.998892e-26 4.699760e+07
2900 5.800000e-12 3.211665e-18 -6.499164e-18 -3.287498e-18 151.445 6.025583e-26 4.361771e+07
3000 6.000000e-12 3.270112e-18 -6.554011e-18 -3.283898e-18 154.201 6.052267e-26 3.543581e+07
3100 6.200000e-12 3.133556e-18 -6.415241e-18 -3.281685e-18 147.762 6.067007e-26 4.473908e+07
3200 6.400000e-12 3.182419e-18 -6.461842e-18 -3.279423e-18 150.066 6.088239e-26 3.774140e+07
3300 6.600000e-12 3.153758e-18 -6.430229e-18 -3.276472e-18 148.715 6.113271e-26 3.869107e+07
3400 6.800000e-12 3.088405e-18 -6.363471e-18 -3.275066e-18 145.633 6.124221e-26 4.151221e+07
3500 7.000000e-12 3.125520e-18 -6.398606e-18 -3.273086e-18 147.383 6.141060e-26 3.555163e+07
3600 7.200000e-12 3.120944e-18 -6.391071e-18 -3.270127e-18 147.167 6.161709e-26 3.241877e+07
3700 7.400000e-12 3.098161e-18 -6.364163e-18 -3.266002e-18 146.093 6.189200e-26 3.098905e+07
3800 7.600000e-12 3.080253e-18 -6.339613e-18 -3.259360e-18 145.249 6.219110e-26 3.025451e+07
3900 7.800000e-12 3.011073e-18 -6.265454e-18 -3.254381e-18 141.986 6.248840e-26 3.580017e+07
4000 8.000000e-12 3.060432e-18 -6.312209e-18 -3.251777e-18 144.314 6.267901e-26 2.930469e+07
4100 8.200000e-12 3.005738e-18 -6.253518e-18 -3.247781e-18 141.735 6.290726e-26 3.073875e+07
4200 8.400000e-12 3.042264e-18 -6.283977e-18 -3.241713e-18 143.457 6.317018e-26 2.606625e+07
4300 8.600000e-12 3.059855e-18 -6.297680e-18 -3.237825e-18 144.287 6.336625e-26 2.790650e+07
4400 8.800000e-12 2.947975e-18 -6.179966e-18 -3.231991e-18 139.011 6.369795e-26 3.474087e+07
4500 9.000000e-12 3.008291e-18 -6.237759e-18 -3.229467e-18 141.855 6.383902e-26 2.527203e+07
4600 9.200000e-12 2.958015e-18 -6.182074e-18 -3.224059e-18 139.484 6.407999e-26 2.481746e+07
4700 9.400000e-12 2.938015e-18 -6.158247e-18 -3.220232e-18 138.541 6.423080e-26 2.235904e+07
4800 9.600000e-12 2.901252e-18 -6.116062e-18 -3.214810e-18 136.808 6.449267e-26 2.262374e+07
4900 9.800000e-12 3.034686e-18 -6.242361e-18 -3.207675e-18 143.100 6.473676e-26 9.257224e+06
5000 1.000000e-11 2.858415e-18 -6.057179e-18 -3.198764e-18 134.788 6.499660e-26 2.037899e+07
5100 1.020000e-11 2.876367e-18 -6.072595e-18 -3.196229e-18 135.634 6.511309e-26 1.849323e+07
5200 1.040000e-11 2.902692e-18 -6.082350e-18 -3.179658e-18 136.876 6.564423e-26 1.120750e+07
5300 1.060000e-11 2.871366e-18 -6.040628e-18 -3.169262e-18 135.399 6.597925e-26 1.195159e+07
5400 1.080000e-11 2.836468e-18 -5.998886e-18 -3.162417e-18 133.753 6.618659e-26 1.370256e+07
5500 1.100000e-11 2.834283e-18 -5.997106e-18 -3.162823e-18 133.650 6.617094e-26 1.686344e+07
5600 1.120000e-11 2.803281e-18 -5.964783e-18 -3.161502e-18 132.188 6.622900e-26 1.781447e+07
5700 1.140000e-11 2.871707e-18 -6.029156e-18 -3.157450e-18 135.415 6.637080e-26 1.049781e+07
5800 1.160000e-11 2.837955e-18 -5.990785e-18 -3.152829e-18 133.823 6.649819e-26 1.282574e+07
5900 1.180000e-11 2.803088e-18 -5.955092e-18 -3.152004e-18 132.179 6.653068e-26 1.609447e+07
6000 1.200000e-11 2.870462e-18 -6.017317e-18 -3.146855e-18 135.356 6.670618e-26 1.014900e+07
6100 1.220000e-11 2.857890e-18 -6.000278e-18 -3.142388e-18 134.763 6.684335e-26 1.060092e+07
6200 1.240000e-11 2.831086e-18 -5.962901e-18 -3.131815e-18 133.499 6.716522e-26 8.286531e+06
6300 1.260000e-11 2.810967e-18 -5.935455e-18 -3.124487e-18 132.550 6.738214e-26 7.999977e+06
6400 1.280000e-11 2.830243e-18 -5.951860e-18 -3.121617e-18 133.459 6.746910e-26 8.759194e+06
6500 1.300000e-11 2.824993e-18 -5.936416e-18 -3.111423e-18 133.212 6.778166e-26 8.434325e+06
6600 1.320000e-11 2.838602e-18 -5.941861e-18 -3.103259e-18 133.854 6.802912e-26 8.018063e+06
6700 1.340000e-11 2.746628e-18 -5.844433e-18 -3.097805e-18 129.517 6.821472e-26 1.485692e+07
6800 1.360000e-11 2.841632e-18 -5.929025e-18 -3.087393e-18 133.996 6.855256e-26 4.712931e+06
6900 1.380000e-11 2.761079e-18 -5.839920e-18 -3.078841e-18 130.198 6.879695e-26 8.521170e+06
7000 1.400000e-11 2.764795e-18 -5.838210e-18 -3.073415e-18 130.373 6.896002e-26 8.546677e+06
7100 1.420000e-11 2.796151e-18 -5.863009e-18 -3.066859e-18 131.852 6.915632e-26 7.763384e+06
7200 1.440000e-11 2.733925e-18 -5.794745e-18 -3.060819e-18 128.918 6.937968e-26 1.457079e+07
7300 1.460000e-11 2.765137e-18 -5.817303e-18 -3.052166e-18 130.389 6.968313e-26 1.003023e+07
7400 1.480000e-11 2.788218e-18 -5.831765e-18 -3.043547e-18 131.478 6.995975e-26 3.484521e+06
7500 1.500000e-11 2.786417e-18 -5.818185e-18 -3.031767e-18 131.393 7.026822e-26 -1.616578e+06
7600 1.520000e-11 2.714753e-18 -5.736957e-18 -3.022204e-18 128.014 7.049991e-26 3.419273e+06
7700 1.540000e-11 2.658854e-18 -5.673439e-18 -3.014586e-18 125.378 7.073177e-26 7.838494e+06
7800 1.560000e-11 2.733782e-18 -5.742569e-18 -3.008787e-18 128.911 7.090278e-26 -2.098509e+05
7900 1.580000e-11 2.632100e-18 -5.632963e-18 -3.000862e-18 124.116 7.112109e-26 7.610286e+06
8000 1.600000e-11 2.641595e-18 -5.635703e-18 -2.994108e-18 124.564 7.135260e-26 9.127015e+06
8100 1.620000e-11 2.700904e-18 -5.691524e-18 -2.990620e-18 127.360 7.146643e-26 6.271683e+06
8200 1.640000e-11 2.633897e-18 -5.615935e-18 -2.982038e-18 124.201 7.174179e-26 9.211287e+06
8300 1.660000e-11 2.694978e-18 -5.671573e-18 -2.976595e-18 127.081 7.192307e-26 3.008158e+06
8400 1.680000e-11 2.664749e-18 -5.639816e-18 -2.975066e-18 125.656 7.197299e-26 5.315183e+06
8500 1.700000e-11 2.646791e-18 -5.614391e-18 -2.967600e-18 124.809 7.219730e-26 4.541189e+06
8600 1.720000e-11 2.624633e-18 -5.584824e-18 -2.960191e-18 123.764 7.242332e-26 5.387957e+06
