# Step Time(s) Pxy(Pa) Pxz(Pa) Pyz(Pa)
0 0.000000e+00 1.982959e+33 -7.102150e+33 -1.901546e+34
1 2.000000e-15 7.868236e+33 -2.818154e+34 -7.545398e+34
2 4.000000e-15 1.330539e+43 -1.521712e+43 -1.912514e+43
3 6.000000e-15 5.279666e+43 -6.038252e+43 -7.588978e+43
4 8.000000e-15 5.237513e+43 -5.990043e+43 -7.528388e+43
5 1.000000e-14 5.195697e+43 -5.942218e+43 -7.468281e+43
6 1.200000e-14 5.154214e+43 -5.894776e+43 -7.408655e+43
7 1.400000e-14 5.113063e+43 -5.847712e+43 -7.349504e+43
8 1.600000e-14 5.072240e+43 -5.801024e+43 -7.290825e+43
9 1.800000e-14 5.031743e+43 -5.754708e+43 -7.232616e+43
10 2.000000e-14 4.991570e+43 -5.708763e+43 -7.174870e+43
11 2.200000e-14 4.878688e+43 -5.688501e+43 -7.104513e+43
12 2.400000e-14 5.832358e+43 -5.395397e+43 -6.500323e+43
13 2.600000e-14 9.386694e+43 -4.390962e+43 -4.934915e+43
14 2.800000e-14 9.311753e+43 -4.355897e+43 -4.895493e+43
15 3.000000e-14 9.237408e+43 -4.321119e+43 -4.856407e+43
16 3.200000e-14 9.163656e+43 -4.286620e+43 -4.817634e+43
17 3.400000e-14 9.090493e+43 -4.252395e+43 -4.779170e+43
18 3.600000e-14 9.017915e+43 -4.218444e+43 -4.741013e+43
19 3.800000e-14 8.945916e+43 -4.184764e+43 -4.703161e+43
20 4.000000e-14 8.874492e+43 -4.151353e+43 -4.665611e+43
21 4.200000e-14 8.803638e+43 -4.118209e+43 -4.628360e+43
22 4.400000e-14 8.733350e+43 -4.085329e+43 -4.591408e+43
23 4.600000e-14 8.663622e+43 -4.052712e+43 -4.554750e+43
24 4.800000e-14 8.594452e+43 -4.020355e+43 -4.518385e+43
25 5.000000e-14 8.525834e+43 -3.988256e+43 -4.482310e+43
26 5.200000e-14 8.457764e+43 -3.956414e+43 -4.446523e+43
27 5.400000e-14 8.390237e+43 -3.924826e+43 -4.411022e+43
28 5.600000e-14 8.323249e+43 -3.893490e+43 -4.375804e+43
29 5.800000e-14 8.256796e+43 -3.862404e+43 -4.340868e+43
30 6.000000e-14 8.190874e+43 -3.831567e+43 -4.306211e+43
31 6.200000e-14 8.125482e+43 -3.800986e+43 -4.271832e+43
32 6.400000e-14 8.060620e+43 -3.770668e+43 -4.237733e+43
33 6.600000e-14 7.996264e+43 -3.740563e+43 -4.203899e+43
34 6.800000e-14 7.932422e+43 -3.710698e+43 -4.170335e+43
35 7.000000e-14 7.869090e+43 -3.681072e+43 -4.137039e+43
36 7.200000e-14 7.806263e+43 -3.651682e+43 -4.104009e+43
37 7.400000e-14 7.743938e+43 -3.622527e+43 -4.071243e+43
38 7.600000e-14 7.682110e+43 -3.593605e+43 -4.038738e+43
39 7.800000e-14 7.620776e+43 -3.564914e+43 -4.006493e+43
40 8.000000e-14 7.559932e+43 -3.536452e+43 -3.974505e+43
41 8.200000e-14 7.499573e+43 -3.508217e+43 -3.942772e+43
42 8.400000e-14 7.439697e+43 -3.480207e+43 -3.911293e+43
43 8.600000e-14 7.380298e+43 -3.452421e+43 -3.880065e+43
44 8.800000e-14 7.321373e+43 -3.424872e+43 -3.849087e+43
45 9.000000e-14 7.262918e+43 -3.397574e+43 -3.818354e+43
46 9.200000e-14 7.204931e+43 -3.370447e+43 -3.787868e+43
47 9.400000e-14 7.147407e+43 -3.343538e+43 -3.757626e+43
48 9.600000e-14 7.090342e+43 -3.316843e+43 -3.727625e+43
49 9.800000e-14 7.033733e+43 -3.290361e+43 -3.697864e+43
50 1.000000e-13 6.977575e+43 -3.264091e+43 -3.668340e+43
51 1.020000e-13 6.921866e+43 -3.238031e+43 -3.639052e+43
52 1.040000e-13 6.866602e+43 -3.212178e+43 -3.609998e+43
